"enum_name","enum_value"
"beat_miss_enum","beat"
"beat_miss_enum","miss"
"beat_miss_enum","inline"
"contract_type_enum","mou"
"contract_type_enum","loi"
"contract_type_enum","confirmed"
"contract_type_enum","partnership"
"contract_type_enum","renewal"
"contract_type_enum","amendment"
"event_type_enum","corporate_action"
"event_type_enum","disclosure"
"event_type_enum","insider"
"event_type_enum","business"
"event_type_enum","governance"
"event_type_enum","credit_rating"
"event_type_enum","financials"
"event_type_enum","fundraising"
"event_type_enum","legal"
"ingestion_source_enum","manual"
"ingestion_source_enum","rss"
"ingestion_source_enum","api"
"ingestion_source_enum","scraper"
"ingestion_source_enum","exchange_feed"
"investor_category_enum","superinvestor"
"investor_category_enum","fii"
"investor_category_enum","dii"
"investor_category_enum","hni"
"investor_category_enum","mutual_fund"
"investor_category_enum","insurance"
"investor_category_enum","corporate_body"
"investor_category_enum","other"
"outcome_enum","favorable"
"outcome_enum","adverse"
"outcome_enum","pending"
"outcome_enum","settled"
"priority","HIGH"
"priority","MEDIUM"
"priority","LOW"
"priority_enum","low"
"priority_enum","medium"
"priority_enum","high"
"rating_agency_enum","crisil"
"rating_agency_enum","icra"
"rating_agency_enum","care"
"rating_agency_enum","india_ratings"
"rating_agency_enum","fitch"
"rating_agency_enum","moodys"
"rating_agency_enum","sp_global"
"sentiment_enum","positive"
"sentiment_enum","negative"
"sentiment_enum","neutral"
"signal_type_enum","bullish"
"signal_type_enum","bearish"
"signal_type_enum","neutral"
"signal_type_enum","mixed"
"stock_event_type","STAKE_TRANSACTION"
"stock_event_type","CONTRACT"
"stock_event_type","BUYBACK"
"stock_event_type","ACQUISITION"
"stock_event_type","PLEDGE"
"stock_event_type","INSIDER_TRADING"
"stock_event_type","SEBI_ACTION"
"stock_event_type","FII_DII"
"stock_event_type","MUTUAL_FUND"
"stock_event_type","CREDIT_RATING"
"stock_event_type","AUDITOR_RESIGNATION"
"stock_event_type","BOARD_CHANGE"
"transaction_mode_enum","bulk_deal"
"transaction_mode_enum","block_deal"
"transaction_mode_enum","open_market"
"transaction_mode_enum","off_market"
"transaction_type_enum","buy"
"transaction_type_enum","sell"
"transaction_type_enum","increase"
"transaction_type_enum","decrease"
"transaction_type_enum","pledge"
"transaction_type_enum","revoke"
