"id","event_type","subtype_code","label","description","default_signal","created_at","updated_at"
1,"corporate_action","dividend","Dividend","Cash payout to shareholders from profits","bullish","2026-03-22 09:32:23.288161+05:30",NULL
2,"corporate_action","bonus","Bonus issue","Free shares issued proportionally to existing holders","bullish","2026-03-22 09:32:23.288161+05:30",NULL
3,"corporate_action","split","Stock split","Share face value reduced, total count increases","neutral","2026-03-22 09:32:23.288161+05:30",NULL
4,"corporate_action","rights_issue","Rights issue","New shares offered to existing holders at a discount","mixed","2026-03-22 09:32:23.288161+05:30",NULL
5,"corporate_action","buyback","Buyback","Company repurchases its own shares from the market","bullish","2026-03-22 09:32:23.288161+05:30",NULL
6,"corporate_action","merger","Merger","Company merges with another entity","mixed","2026-03-22 09:32:23.288161+05:30",NULL
7,"corporate_action","demerger","Demerger","Business unit spun off as a separate listed entity","mixed","2026-03-22 09:32:23.288161+05:30",NULL
8,"corporate_action","open_offer","Open offer","Public offer to acquire shares from minority holders","mixed","2026-03-22 09:32:23.288161+05:30",NULL
9,"disclosure","bulk_deal","Bulk deal","Trade > 0.5% of equity in a single exchange session","neutral","2026-03-22 09:32:23.288161+05:30",NULL
10,"disclosure","block_deal","Block deal","Large off-market negotiated trade between institutions","neutral","2026-03-22 09:32:23.288161+05:30",NULL
11,"disclosure","shareholding_change","Shareholding change","Quarterly shareholding pattern update filed with exchange","neutral","2026-03-22 09:32:23.288161+05:30",NULL
16,"disclosure","superinvestor_buy","Superinvestor buy","Notable investor discloses purchase","bullish","2026-03-22 09:32:23.288161+05:30",NULL
17,"disclosure","superinvestor_sell","Superinvestor sell","Notable investor discloses sale","bearish","2026-03-22 09:32:23.288161+05:30",NULL
18,"disclosure","mutual_fund_change","Mutual fund change","Mutual fund increases or reduces holding","neutral","2026-03-22 09:32:23.288161+05:30",NULL
19,"insider","insider_buy","Insider buy","Director / KMP buys shares in open market","bullish","2026-03-22 09:32:23.288161+05:30",NULL
20,"insider","insider_sell","Insider sell","Director / KMP sells shares in open market","bearish","2026-03-22 09:32:23.288161+05:30",NULL
21,"insider","pledge","Pledge","Promoter pledges shares as collateral for a loan","bearish","2026-03-22 09:32:23.288161+05:30",NULL
22,"insider","pledge_release","Pledge release","Promoter releases previously pledged shares","bullish","2026-03-22 09:32:23.288161+05:30",NULL
23,"insider","acquisition","Acquisition","Promoter acquires additional stake","bullish","2026-03-22 09:32:23.288161+05:30",NULL
24,"insider","esop_exercise","ESOP exercise","Employee stock options exercised by management","neutral","2026-03-22 09:32:23.288161+05:30",NULL
26,"business","contract","Contract","New client or supplier contract signed","bullish","2026-03-22 09:32:23.288161+05:30",NULL
27,"business","order_win","Order win","New order received from a customer","bullish","2026-03-22 09:32:23.288161+05:30",NULL
28,"business","capex","Capex","Capital expenditure announced for new assets or capacity","mixed","2026-03-22 09:32:23.288161+05:30",NULL
29,"business","jv_partnership","JV / partnership","Joint venture or strategic partnership formed","mixed","2026-03-22 09:32:23.288161+05:30",NULL
30,"business","new_product","New product","New product or service launched or announced","bullish","2026-03-22 09:32:23.288161+05:30",NULL
31,"business","expansion","Expansion","Geographic or manufacturing capacity expansion announced","bullish","2026-03-22 09:32:23.288161+05:30",NULL
32,"business","plant_commissioning","Plant commissioning","New manufacturing plant or facility goes live","bullish","2026-03-22 09:32:23.288161+05:30",NULL
33,"business","divestiture","Divestiture","Non-core business unit or asset sold or divested","mixed","2026-03-22 09:32:23.288161+05:30",NULL
34,"governance","board_appointment","Board appointment","New director or executive appointed to the board","neutral","2026-03-22 09:32:23.288161+05:30",NULL
35,"governance","board_resignation","Board resignation","Director or executive resigns from the board","bearish","2026-03-22 09:32:23.288161+05:30",NULL
36,"governance","auditor_appointment","Auditor appointment","New statutory auditor appointed by shareholders","neutral","2026-03-22 09:32:23.288161+05:30",NULL
37,"governance","auditor_resignation","Auditor resignation","Statutory auditor resigns — high-signal red flag","bearish","2026-03-22 09:32:23.288161+05:30",NULL
38,"governance","sebi_action","SEBI action","SEBI issues show-cause, penalty or trading restriction","bearish","2026-03-22 09:32:23.288161+05:30",NULL
39,"governance","regulatory_notice","Regulatory notice","Notice received from MCA, RBI, IRDAI or other regulator","bearish","2026-03-22 09:32:23.288161+05:30",NULL
